Module                  Size  Used by
btrfs                1040384  0
xor                    24576  1 btrfs
raid6_pq              102400  1 btrfs
ufs                    73728  0
qnx4                   16384  0
hfsplus               106496  0
hfs                    57344  0
minix                  32768  0
ntfs                  208896  0
msdos                  20480  0
jfs                   176128  0
xfs                  1040384  0
libcrc32c              16384  1 xfs
crc32c_generic         16384  0
ext2                   65536  0
dm_mod                110592  0
cm3218                 16384  0
industrialio           65536  1 cm3218
i2c_dev                16384  0
cpuid                  16384  0
fuse                   98304  2
cpufreq_userspace      16384  0
cpufreq_conservative    16384  0
cpufreq_powersave      16384  0
joydev                 20480  0
snd_soc_sst_bytcr_rt5640    24576  1
gpio_keys              20480  0
hid_multitouch         20480  0
intel_rapl             20480  0
intel_soc_dts_thermal    16384  0
intel_powerclamp       16384  0
coretemp               16384  0
nls_utf8               16384  1
nls_cp437              20480  1
vfat                   20480  1
fat                    69632  2 msdos,vfat
kvm_intel             196608  0
kvm                   593920  1 kvm_intel
irqbypass              16384  1 kvm
crct10dif_pclmul       16384  0
crc32_pclmul           16384  0
ghash_clmulni_intel    16384  0
aesni_intel           167936  0
efi_pstore             16384  0
aes_x86_64             20480  1 aesni_intel
lrw                    16384  1 aesni_intel
gf128mul               16384  1 lrw
glue_helper            16384  1 aesni_intel
ablk_helper            16384  1 aesni_intel
cryptd                 24576  3 ablk_helper,ghash_clmulni_intel,aesni_intel
uio_pdrv_genirq        16384  0
r8723bs               598016  0
uio                    16384  1 uio_pdrv_genirq
efivars                20480  1 efi_pstore
cfg80211              540672  1 r8723bs
snd_intel_sst_acpi     16384  1
mei_txe                20480  0
snd_intel_sst_core     77824  1 snd_intel_sst_acpi
snd_soc_rt5640        118784  2 snd_soc_sst_bytcr_rt5640
snd_soc_tlv320aic31xx    49152  0
snd_soc_rl6231         16384  1 snd_soc_rt5640
snd_soc_sst_mfld_platform   102400  3 snd_intel_sst_core
snd_soc_sst_match      16384  2 snd_soc_sst_bytcr_rt5640,snd_intel_sst_acpi
mei                   102400  1 mei_txe
lpc_ich                24576  0
axp20x_i2c             16384  0
axp20x                 24576  1 axp20x_i2c
battery                16384  0
evdev                  24576  14
snd_soc_core          212992  4 snd_soc_sst_bytcr_rt5640,snd_soc_rt5640,snd_soc_tlv320aic31xx,snd_soc_sst_mfld_platform
snd_compress           20480  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_pcm               106496  6 snd_soc_sst_bytcr_rt5640,snd_pcm_dmaengine,snd_soc_rt5640,snd_soc_tlv320aic31xx,snd_soc_sst_mfld_platform,snd_soc_core
tpm_crb                16384  0
snd_seq_midi           16384  0
snd_seq_midi_event     16384  1 snd_seq_midi
snd_rawmidi            32768  1 snd_seq_midi
dw_dmac                16384  0
soc_button_array       16384  0
dw_dmac_core           24576  1 dw_dmac
int3406_thermal        16384  0
dptf_power             16384  0
snd_seq                69632  2 snd_seq_midi_event,snd_seq_midi
snd_seq_device         16384  3 snd_seq,snd_rawmidi,snd_seq_midi
snd_timer              32768  2 snd_seq,snd_pcm
int3403_thermal        16384  0
int3402_thermal        16384  0
int3400_thermal        16384  0
processor_thermal_device    16384  0
int340x_thermal_zone    16384  3 int3402_thermal,int3403_thermal,processor_thermal_device
acpi_thermal_rel       16384  1 int3400_thermal
intel_soc_dts_iosf     16384  2 intel_soc_dts_thermal,processor_thermal_device
snd                    86016  10 snd_compress,snd_seq,snd_timer,snd_rawmidi,snd_seq_device,snd_soc_sst_mfld_platform,snd_soc_core,snd_pcm
acpi_pad               24576  0
ac                     16384  0
soundcore              16384  1 snd
ac97_bus               16384  1 snd_soc_core
acpi_cpufreq           20480  0
i2c_designware_platform    16384  0
tpm_tis                16384  0
spi_pxa2xx_platform    24576  0
i2c_designware_core    20480  1 i2c_designware_platform
tpm_tis_core           20480  1 tpm_tis
tpm                    45056  3 tpm_tis,tpm_crb,tpm_tis_core
pwm_lpss_platform      16384  0
pwm_lpss               16384  1 pwm_lpss_platform
processor              36864  5 acpi_cpufreq
efivarfs               16384  1
autofs4                40960  2
ext4                  573440  1
crc16                  16384  1 ext4
jbd2                  106496  1 ext4
mbcache                16384  2 ext4
hid_generic            16384  0
usbhid                 53248  0
mmc_block              40960  4
crc32c_intel           24576  2
i915                 1290240  4
i2c_algo_bit           16384  1 i915
drm_kms_helper        159744  1 i915
syscopyarea            16384  1 drm_kms_helper
sysfillrect            16384  1 drm_kms_helper
sysimgblt              16384  1 drm_kms_helper
thermal                20480  0
fb_sys_fops            16384  1 drm_kms_helper
xhci_pci               16384  0
xhci_hcd              188416  1 xhci_pci
drm                   368640  6 i915,drm_kms_helper
usbcore               245760  3 usbhid,xhci_pci,xhci_hcd
usb_common             16384  1 usbcore
video                  40960  2 int3406_thermal,i915
button                 16384  1 i915
i2c_hid                20480  0
hid                   122880  4 i2c_hid,hid_generic,usbhid,hid_multitouch
sdhci_acpi             16384  0
sdhci                  49152  1 sdhci_acpi
mmc_core              147456  4 sdhci,mmc_block,sdhci_acpi,r8723bs
